order_id,customer_id,order_date,status,shipping_method,shipping_cost,order_subtotal,order_total,currency,payment_status
138,369,2025-04-01 15:44:09.179452,Completed,2-Day,16.99,786.68,803.67,USD,Paid
139,368,2024-12-09 21:35:36.179452,Completed,Overnight,12.17,3687.26,3699.43,USD,Paid
140,84,2025-07-26 08:40:06.179452,Completed,Overnight,21.47,213.41,234.88,USD,Paid
141,752,2025-06-23 19:27:27.179452,Processing,Ground,18.19,1136.99,1155.18,USD,Paid
142,596,2025-10-25 20:36:08.179452,Completed,Pickup,19.23,3077.99,3097.22,USD,Paid
143,557,2025-04-11 13:44:00.179452,Completed,Pickup,16.35,3068.5,3084.85,USD,Paid
144,791,2025-06-15 01:44:56.179452,Completed,Overnight,3.35,3157.86,3161.21,USD,Paid
145,373,2024-06-18 20:29:04.179452,Pending,Ground,16.57,1378.03,1394.6,USD,Paid
146,144,2024-02-25 09:01:47.179452,Completed,Pickup,3.98,829.21,833.19,USD,Paid
147,150,2024-04-13 18:28:02.179452,Completed,Pickup,23.48,2499.6,2523.08,USD,Paid
148,238,2025-10-04 07:06:03.179452,Completed,Ground,6.61,3246.24,3252.85,USD,Paid
149,531,2025-03-20 13:30:34.179452,Completed,Overnight,9.7,949.31,959.01,USD,Paid
150,665,2024-08-06 13:22:38.179452,Pending,Overnight,2.58,3450.35,3452.93,USD,Pending
151,760,2024-05-29 16:00:02.179452,Completed,Overnight,14.47,3266.47,3280.94,USD,Paid
152,388,2024-04-10 08:44:18.179452,Completed,Overnight,14.69,1888.12,1902.81,USD,Paid
153,229,2025-08-26 20:15:24.179452,Processing,Pickup,8.82,1408.57,1417.39,USD,Paid
154,619,2024-11-25 21:20:31.179452,Completed,Ground,12.55,2092.91,2105.46,USD,Paid
155,79,2025-06-24 23:03:06.179452,Processing,Overnight,5.29,75.74,81.03,USD,Paid
156,735,2025-05-07 09:20:19.179452,Completed,Ground,16.53,1388.37,1404.9,USD,Paid
157,494,2024-09-16 03:02:41.179452,Completed,Pickup,11.98,1793.48,1805.46,USD,Paid
158,421,2024-03-20 09:11:50.179452,Completed,Ground,6.09,1241.71,1247.8,USD,Paid
159,138,2025-07-06 18:11:16.179452,Completed,Ground,22.27,911.77,934.04,USD,Paid
160,185,2025-06-17 13:01:56.179452,Processing,Pickup,14.98,1665.34,1680.32,USD,Paid
161,737,2024-04-15 15:51:10.179452,Pending,Overnight,23.68,2302.5,2326.18,USD,Pending
162,483,2025-04-06 22:42:47.179452,Completed,Pickup,4.26,838.08,842.34,USD,Paid
163,597,2024-09-19 17:11:31.179452,Processing,2-Day,15.58,3141.31,3156.89,USD,Paid
164,703,2024-06-09 05:26:13.179452,Processing,Overnight,23.06,1035.36,1058.42,USD,Paid
165,388,2024-03-13 17:33:54.179452,Pending,Pickup,3.31,867.24,870.55,USD,Paid
166,517,2025-10-29 07:42:02.179452,Completed,Pickup,20.66,269.43,290.09,USD,Paid
167,630,2024-03-04 11:33:42.179452,Processing,Ground,21.94,1004.39,1026.33,USD,Paid
168,96,2024-05-18 20:44:32.179452,Completed,Pickup,16.48,1258.07,1274.55,USD,Paid
169,794,2024-03-06 19:25:59.179452,Completed,Pickup,13.05,2880.94,2893.99,USD,Paid
170,440,2024-10-31 13:29:11.179452,Completed,2-Day,23.46,171.07,194.53,USD,Paid
171,760,2024-07-09 01:11:15.179452,Completed,Ground,10.64,3388.06,3398.7,USD,Paid
172,86,2025-02-26 21:41:45.179452,Completed,Overnight,14.96,1022.55,1037.51,USD,Paid
173,6,2024-05-07 00:11:22.179452,Processing,Ground,14.45,758.46,772.91,USD,Paid
174,671,2025-07-16 20:08:38.179452,Pending,2-Day,17.19,1343.7,1360.89,USD,Paid
175,159,2024-12-26 00:10:56.179452,Completed,Pickup,16.29,746.43,762.72,USD,Paid
176,434,2025-02-28 05:33:15.179452,Cancelled,Overnight,15.3,411.77,427.07,USD,Pending
177,424,2023-12-19 00:35:49.180463,Completed,Pickup,4.47,150.56,155.03,USD,Paid
178,315,2024-04-20 18:51:51.180463,Completed,Overnight,19.35,4194.41,4213.76,USD,Paid
179,676,2024-10-03 10:02:28.180463,Cancelled,Ground,18.7,377.18,395.88,USD,Paid
180,521,2024-08-14 09:10:38.180463,Processing,Pickup,19.65,4164.89,4184.54,USD,Paid
181,724,2024-04-29 16:42:43.180463,Completed,Ground,4.02,2265.16,2269.18,USD,Paid
182,149,2024-02-02 14:52:31.180463,Completed,Pickup,23.15,156.63,179.78,USD,Paid
183,228,2024-08-26 11:51:32.180463,Pending,Overnight,2.0,948.59,950.59,USD,Paid
184,411,2025-10-07 01:04:30.180463,Cancelled,Overnight,17.79,1257.22,1275.01,USD,Paid
185,180,2024-03-13 12:58:33.180463,Cancelled,Pickup,10.97,2371.96,2382.93,USD,Paid
186,531,2025-04-21 15:09:05.180463,Cancelled,Overnight,4.87,1738.71,1743.58,USD,Paid
187,238,2024-03-10 20:28:46.180463,Completed,2-Day,16.85,667.22,684.07,USD,Paid
188,162,2024-11-11 06:21:25.180463,Completed,Ground,24.92,311.93,336.85,USD,Paid
189,416,2024-10-01 02:12:39.180463,Completed,2-Day,12.94,334.81,347.75,USD,Paid
190,563,2023-11-25 12:34:11.180463,Cancelled,Overnight,18.15,744.03,762.18,USD,Paid
191,284,2024-04-20 17:50:38.180463,Processing,2-Day,15.16,2554.25,2569.41,USD,Paid
192,589,2025-04-28 22:30:38.180463,Cancelled,Ground,6.53,746.65,753.18,USD,Paid
193,75,2024-09-23 20:38:11.180463,Processing,Overnight,8.5,1865.71,1874.21,USD,Paid
194,551,2025-07-17 20:22:47.180463,Returned,Overnight,17.35,3419.99,3437.34,USD,Paid
195,250,2024-10-23 18:33:49.180463,Completed,Overnight,24.03,1669.99,1694.02,USD,Paid
196,29,2024-08-01 22:17:37.180463,Cancelled,Pickup,2.91,1358.69,1361.6,USD,Paid
197,226,2025-09-06 01:08:07.180463,Completed,2-Day,20.0,2324.09,2344.09,USD,Paid
198,10,2024-09-18 02:12:43.180463,Completed,Overnight,6.21,3978.11,3984.32,USD,Paid
199,351,2025-08-11 00:32:36.180463,Completed,Ground,13.86,2607.63,2621.49,USD,Paid
200,224,2025-05-15 21:43:01.180463,Processing,Overnight,4.57,1702.31,1706.88,USD,Paid
201,205,2023-12-16 08:08:39.180463,Completed,2-Day,18.39,2505.3,2523.69,USD,Pending
202,256,2025-02-16 07:32:22.180463,Processing,Overnight,3.9,2614.74,2618.64,USD,Paid
203,693,2025-07-28 10:42:12.180463,Cancelled,Pickup,15.35,4846.61,4861.96,USD,Paid
204,381,2024-05-09 13:31:45.180463,Completed,Overnight,12.31,2146.1,2158.41,USD,Pending
205,783,2024-04-05 05:03:55.180463,Completed,Overnight,9.95,310.17,320.12,USD,Paid
206,434,2024-04-03 10:23:55.180463,Pending,Pickup,23.49,694.33,717.82,USD,Paid
207,703,2025-10-11 20:46:24.180463,Processing,2-Day,11.43,4699.1,4710.53,USD,Paid
208,706,2025-07-13 20:12:02.180463,Completed,Ground,0.3,947.64,947.94,USD,Paid
209,334,2025-04-13 01:15:12.180463,Completed,Overnight,15.32,4197.67,4212.99,USD,Pending
210,243,2025-02-22 08:15:14.180463,Completed,Overnight,11.78,165.13,176.91,USD,Paid
211,511,2024-02-26 02:34:34.180463,Completed,Pickup,5.26,2011.46,2016.72,USD,Pending
212,411,2023-11-28 01:30:45.180463,Completed,Overnight,11.27,5079.86,5091.13,USD,Paid
213,703,2024-04-08 10:17:36.180463,Returned,2-Day,20.35,3481.05,3501.4,USD,Paid
214,391,2025-02-11 06:28:57.180463,Completed,2-Day,3.65,591.16,594.81,USD,Paid
215,181,2025-06-13 21:50:49.180463,Completed,Pickup,12.49,1381.77,1394.26,USD,Paid
216,324,2024-02-07 20:14:39.180463,Completed,Pickup,7.5,4363.73,4371.23,USD,Paid
217,102,2024-04-17 18:23:37.180463,Pending,2-Day,1.5,721.04,722.54,USD,Paid
218,99,2025-02-26 21:43:04.180463,Completed,Pickup,18.61,1662.15,1680.76,USD,Paid
219,571,2025-02-21 01:55:32.180463,Completed,Overnight,8.6,3016.08,3024.68,USD,Paid
220,696,2024-09-19 10:39:14.180463,Completed,2-Day,14.42,2258.5,2272.92,USD,Paid
221,800,2024-01-18 15:26:02.180463,Completed,Overnight,8.88,2892.15,2901.03,USD,Paid
222,755,2023-12-25 20:29:00.180463,Completed,Pickup,22.24,360.99,383.23,USD,Paid
223,647,2024-10-19 16:43:30.180463,Processing,2-Day,21.71,467.7,489.41,USD,Paid
224,628,2024-01-29 02:47:02.180463,Completed,Pickup,21.22,1810.75,1831.97,USD,Paid
225,234,2025-09-02 12:11:15.180463,Processing,Overnight,7.92,2483.32,2491.24,USD,Paid
226,405,2025-01-20 05:19:46.180463,Completed,Overnight,22.19,2326.68,2348.87,USD,Paid
227,462,2024-11-07 17:41:56.180463,Completed,Pickup,4.18,331.3,335.48,USD,Paid
228,678,2025-10-22 10:30:55.180463,Completed,Overnight,23.51,1971.5,1995.01,USD,Paid
229,407,2023-11-28 12:09:10.180463,Processing,Ground,2.39,3603.73,3606.12,USD,Paid
230,790,2024-07-17 19:06:00.180463,Pending,Pickup,13.1,3459.18,3472.28,USD,Paid
231,160,2025-08-21 11:17:02.180463,Processing,Ground,16.37,1199.45,1215.82,USD,Paid
232,756,2024-10-11 03:48:15.180463,Processing,Overnight,11.08,1856.36,1867.44,USD,Paid
233,175,2025-07-08 10:17:18.180463,Completed,Ground,0.88,952.52,953.4,USD,Paid
234,479,2024-11-14 03:13:40.180463,Cancelled,Overnight,13.71,1760.78,1774.49,USD,Paid
235,612,2025-06-28 19:25:59.180463,Processing,Pickup,15.78,1190.83,1206.61,USD,Paid
236,656,2024-02-01 18:32:02.180463,Completed,Overnight,22.72,1006.11,1028.83,USD,Paid
237,92,2024-07-08 19:25:09.180463,Processing,Pickup,7.7,3177.9,3185.6,USD,Pending
238,11,2024-09-18 05:36:31.180463,Processing,Ground,13.08,2378.54,2391.62,USD,Pending
239,548,2025-06-28 02:32:51.180463,Processing,Ground,17.19,697.2,714.39,USD,Paid
240,785,2024-06-28 21:41:54.180463,Processing,Pickup,19.95,1726.33,1746.28,USD,Paid
241,562,2024-03-13 06:38:59.180463,Completed,Overnight,4.71,2695.24,2699.95,USD,Paid
242,168,2024-04-18 23:09:12.180463,Completed,Pickup,20.71,1278.49,1299.2,USD,Paid
243,641,2025-04-03 05:29:35.180463,Pending,2-Day,12.92,706.42,719.34,USD,Paid
244,761,2024-02-26 05:10:11.180463,Processing,Overnight,10.32,2420.64,2430.96,USD,Paid
245,114,2025-09-05 08:25:36.181463,Processing,Pickup,15.44,1215.23,1230.67,USD,Paid
246,329,2025-02-08 16:23:39.181463,Completed,Ground,3.8,4767.21,4771.01,USD,Paid
247,105,2024-05-16 14:15:44.181463,Processing,Overnight,6.73,1166.59,1173.32,USD,Paid
248,155,2024-08-23 14:46:09.181463,Processing,Ground,12.34,3289.42,3301.76,USD,Paid
249,511,2024-11-28 23:46:02.181463,Processing,Overnight,11.59,1455.02,1466.61,USD,Paid
250,769,2025-10-13 03:02:38.181463,Pending,2-Day,1.4,1632.29,1633.69,USD,Paid
251,186,2024-10-09 12:28:08.181463,Completed,2-Day,22.39,2289.13,2311.52,USD,Paid
252,125,2025-03-03 01:10:30.181463,Completed,2-Day,9.62,3015.23,3024.85,USD,Paid
253,35,2024-08-18 06:04:08.181463,Completed,2-Day,11.52,36.14,47.66,USD,Paid
254,214,2025-08-09 20:05:38.181463,Completed,Pickup,9.73,1652.67,1662.4,USD,Paid
255,746,2024-12-30 03:18:20.181463,Processing,Ground,18.62,2102.76,2121.38,USD,Paid
256,493,2024-04-30 20:06:06.181463,Processing,Overnight,4.97,1341.38,1346.35,USD,Paid
257,242,2025-09-22 07:08:19.181463,Returned,Pickup,8.11,1418.33,1426.44,USD,Pending
258,406,2025-05-27 05:00:56.181463,Completed,2-Day,0.22,802.46,802.68,USD,Paid
259,487,2025-10-01 17:54:42.181463,Completed,2-Day,9.28,3840.07,3849.35,USD,Paid
260,94,2025-08-15 06:00:44.181463,Processing,Overnight,23.27,1775.84,1799.11,USD,Pending
261,661,2024-02-13 12:52:53.181463,Pending,2-Day,17.53,1631.95,1649.48,USD,Paid
262,325,2025-07-28 10:29:12.181463,Completed,Overnight,20.14,1800.62,1820.76,USD,Paid
263,387,2024-08-22 08:02:32.181463,Pending,Overnight,18.11,1894.53,1912.64,USD,Paid
264,449,2025-03-03 13:37:49.181463,Completed,Overnight,13.57,258.47,272.04,USD,Pending
265,557,2024-07-01 08:09:30.181463,Completed,Overnight,8.09,3470.23,3478.32,USD,Paid
266,614,2024-07-23 05:02:37.181463,Cancelled,2-Day,1.72,2352.16,2353.88,USD,Paid
267,270,2025-06-08 22:42:23.181463,Processing,Overnight,11.35,1745.29,1756.64,USD,Paid
268,190,2024-01-30 20:38:48.181463,Completed,Ground,15.49,361.24,376.73,USD,Paid
269,739,2024-11-06 16:29:14.181463,Processing,Ground,16.46,1151.83,1168.29,USD,Paid
270,700,2024-05-12 00:57:35.181463,Processing,Pickup,19.14,3965.06,3984.2,USD,Paid
271,420,2025-06-09 16:44:52.181463,Processing,Overnight,2.76,287.92,290.68,USD,Paid
272,133,2024-05-27 15:04:42.181463,Pending,2-Day,21.84,323.5,345.34,USD,Paid
273,102,2025-04-22 11:10:13.181463,Completed,Ground,14.28,3290.83,3305.11,USD,Paid
274,639,2024-10-12 15:06:49.181463,Completed,Overnight,1.23,2945.68,2946.91,USD,Paid
275,14,2025-04-01 17:00:21.181463,Completed,2-Day,16.39,2602.18,2618.57,USD,Paid
276,63,2025-08-24 22:01:35.181463,Completed,Overnight,13.95,1690.25,1704.2,USD,Paid
277,60,2024-09-15 01:37:50.181463,Completed,Overnight,13.23,229.88,243.11,USD,Paid
278,222,2025-09-03 04:00:11.181463,Pending,Ground,2.53,3574.3,3576.83,USD,Paid
279,198,2025-03-22 19:42:39.181463,Completed,2-Day,14.25,85.78,100.03,USD,Paid
280,426,2025-05-14 18:44:11.181463,Completed,Ground,19.16,4303.62,4322.78,USD,Paid
281,720,2024-04-03 02:02:06.181463,Completed,Pickup,22.07,4429.77,4451.84,USD,Paid
